정점명,차수,날짜,추정_개수,추정_무게_kg,위도,경도,군집
완도보길도,1차,2023-01-31,324,12.61,34.1593277,126.5241703,0
완도보길도,2차,2023-03-31,238,4.37,34.1593277,126.5241703,0
완도보길도,3차,2023-05-31,243,6.09,34.1593277,126.5241703,0
완도보길도,4차,2023-07-31,285,3.15,34.1593277,126.5241703,0
완도보길도,5차,2023-09-30,336,4.53,34.1593277,126.5241703,0
완도보길도,6차,2023-11-30,266,7.63,34.1593277,126.5241703,0
완도평일도,1차,2023-01-31,154,27.92,34.3289971,126.8040192,2
완도평일도,2차,2023-03-31,114,9.68,34.3289971,126.8040192,2
완도평일도,3차,2023-05-31,116,13.49,34.3289971,126.8040192,2
완도평일도,4차,2023-07-31,136,6.97,34.3289971,126.8040192,2
완도평일도,5차,2023-09-30,160,10.03,34.3289971,126.8040192,2
완도평일도,6차,2023-11-30,127,16.9,34.3289971,126.8040192,2
울릉현포,1차,2023-01-31,438,82.29,37.527339,130.8339278,0
울릉현포,2차,2023-03-31,322,28.54,37.527339,130.8339278,0
울릉현포,3차,2023-05-31,329,39.76,37.527339,130.8339278,0
울릉현포,4차,2023-07-31,385,20.55,37.527339,130.8339278,0
울릉현포,5차,2023-09-30,454,29.56,37.527339,130.8339278,0
울릉현포,6차,2023-11-30,359,49.79,37.527339,130.8339278,0
울산주전,1차,2023-01-31,264,4.47,35.5578088,129.4481506,2
울산주전,2차,2023-03-31,194,1.55,35.5578088,129.4481506,2
울산주전,3차,2023-05-31,198,2.16,35.5578088,129.4481506,2
울산주전,4차,2023-07-31,232,1.12,35.5578088,129.4481506,2
울산주전,5차,2023-09-30,274,1.61,35.5578088,129.4481506,2
울산주전,6차,2023-11-30,217,2.7,35.5578088,129.4481506,2
제주위미,1차,2023-01-31,173,4.86,33.3283413,126.6661355,2
제주위미,2차,2023-03-31,127,1.69,33.3283413,126.6661355,2
제주위미,3차,2023-05-31,130,2.35,33.3283413,126.6661355,2
제주위미,4차,2023-07-31,152,1.21,33.3283413,126.6661355,2
제주위미,5차,2023-09-30,179,1.75,33.3283413,126.6661355,2
제주위미,6차,2023-11-30,142,2.94,33.3283413,126.6661355,2
진도가사도,1차,2023-01-31,258,73.91,34.4797866,126.0504041,0
진도가사도,2차,2023-03-31,190,25.63,34.4797866,126.0504041,0
진도가사도,3차,2023-05-31,194,35.71,34.4797866,126.0504041,0
진도가사도,4차,2023-07-31,227,18.46,34.4797866,126.0504041,0
진도가사도,5차,2023-09-30,268,26.56,34.4797866,126.0504041,0
진도가사도,6차,2023-11-30,212,44.72,34.4797866,126.0504041,0
통영욕지도,1차,2023-01-31,490,15.73,34.6315021,128.241404,0
통영욕지도,2차,2023-03-31,361,5.46,34.6315021,128.241404,0
통영욕지도,3차,2023-05-31,369,7.6,34.6315021,128.241404,0
통영욕지도,4차,2023-07-31,432,3.93,34.6315021,128.241404,0
통영욕지도,5차,2023-09-30,509,5.65,34.6315021,128.241404,0
통영욕지도,6차,2023-11-30,402,9.52,34.6315021,128.241404,0
화성서신,1차,2023-01-31,24,0.49,37.1295396,126.6975366,2
화성서신,2차,2023-03-31,17,0.17,37.1295396,126.6975366,2
화성서신,3차,2023-05-31,18,0.24,37.1295396,126.6975366,2
화성서신,4차,2023-07-31,21,0.12,37.1295396,126.6975366,2
화성서신,5차,2023-09-30,25,0.18,37.1295396,126.6975366,2
화성서신,6차,2023-11-30,19,0.3,37.1295396,126.6975366,2
